Date,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2018-05-23,90134.6647164286,72835.45156259024,93345.91461147758,183480.5793279062
2018-05-24,90046.38573563509,72772.65317880345,93396.42736480322,183442.81310043833
2018-05-25,90104.51871434419,72712.35874080792,93675.33448406408,183779.85319840827
2018-05-28,89853.96360066709,72712.35874080792,94352.28705985968,184206.25066052677
2018-05-29,89448.36108441101,72073.34636109209,93635.53063465975,183083.89171907076
2018-05-30,89721.25235768667,72575.5772606426,94565.97523264032,184287.22759032698
2018-05-31,89851.64753300743,72357.72689969515,93291.53931227722,183143.18684528465
2018-06-01,90139.53570684226,72761.82179880023,94183.62904957162,184323.1647564139
2018-06-04,90239.07908341169,72973.0403432203,94529.27817258344,184768.35725599513
2018-06-05,90182.00404565435,72909.88790030505,94228.7393031382,184410.74334879254
2018-06-06,90507.41405338695,73319.52570017285,94868.13525440574,185375.54930779268
2018-06-07,90246.92719712271,73095.86720738304,94628.44650898344,184875.37370610615
2018-06-08,90233.59924938009,73128.08975534224,94934.88694332179,185168.48619270188
2018-06-11,90529.72982880102,73241.278286947,94985.88288951894,185515.61271831996
2018-06-12,90508.00239886466,73165.7673866218,95021.84557944346,185529.8479783081
2018-06-13,90373.53222354497,73025.44981299175,95049.19272610487,185422.72494964983
2018-06-14,90805.61124017336,73076.01226225143,94803.70458549786,185609.31582567122
2018-06-15,90694.46205184548,72902.52629648376,95619.68130877243,186314.14336061792
2018-06-18,90526.60170957464,72629.23576599322,95848.80263432223,186375.40434389687
2018-06-19,90127.50908976345,72312.66337095646,95533.70754843071,185661.21663819416
2018-06-20,90342.71058222245,72325.08100100586,96039.03036123149,186381.74094345394
2018-06-21,89856.23922797224,71937.63830873855,95724.53675185305,185580.7759798253
2018-06-22,90379.37558749579,72234.26276558099,96197.25866332483,186576.6342508206
2018-06-25,89430.06851830678,71617.48426021595,95099.42678344516,184529.49530175194
2018-06-26,89801.7897783528,71673.11317194092,95308.03577534288,185109.82555369567
2018-06-27,89522.88206802189,71179.26601360072,94679.81403107231,184202.6960990942
2018-06-28,89342.58283975614,71390.74737240153,95159.58154710874,184502.16438686487
2018-06-29,89593.96399066305,71642.17100571212,94963.13327721866,184557.0972678817
2018-07-02,89588.96399066306,71637.17100571212,94187.11947080541,183776.08346146846
2018-07-03,89392.32281658672,71720.1094825908,94580.17791503025,183972.50073161698
2018-07-04,89473.9549145618,71720.1094825908,94254.5710146321,183728.5259291939
2018-07-05,89540.54766877907,72060.49384106991,94681.00400150254,184221.55167028162
2018-07-06,89984.29954272653,72467.28026762858,95193.01530970012,185177.31485242664
2018-07-09,90517.63112996594,72981.96035857982,95576.4441547093,186094.07528467523
2018-07-10,90586.5713655538,72984.63833524316,95685.05260447924,186271.62397003302
2018-07-11,90140.26645037372,72391.87782416357,95144.64075773282,185284.90720810654
2018-07-12,90681.56717448425,72860.69925939519,96227.12911122577,186908.69628571003
2018-07-13,90807.04321894044,72953.2078051186,96044.35536407644,186851.39858301688
2018-07-16,90563.27943887356,72813.59939126432,95793.57409510144,186356.85353397502
2018-07-17,90886.0453183151,72998.82379436324,95893.44379546978,186779.48911378486
2018-07-18,90738.66532402721,73018.54339068521,96409.30630739953,187147.97163142674
2018-07-19,90843.63910458461,72842.27063254875,95917.97243197032,186761.61153655493
2018-07-20,90617.26508209783,72994.85537011581,96791.17641082728,187408.4414929251
2018-07-23,90438.815848387,72892.66495686251,95622.05794597391,186060.8737943609
2018-07-24,90791.64123037414,73266.05733233663,96484.07199095664,187275.71322133078
